Unnamed: 0,region,parameter,mode,powertrain,year,unit,value
1074,China,EV sales,Cars,BEV,2010,Vehicles,1100.0
1075,China,EV sales,Vans,BEV,2010,Vehicles,120.0
1076,China,EV stock,Vans,BEV,2010,Vehicles,400.0
1077,China,EV sales,Buses,BEV,2010,Vehicles,970.0
1078,China,EV stock,Buses,BEV,2010,Vehicles,1900.0
1080,China,EV stock,Cars,BEV,2010,Vehicles,1600.0
1081,China,EV sales,Cars,PHEV,2010,Vehicles,340.0
1082,China,EV stock,Cars,PHEV,2010,Vehicles,340.0
1083,China,EV stock,Trucks,BEV,2010,Vehicles,16.0
1109,China,EV stock,Trucks,BEV,2011,Vehicles,120.0
1110,China,EV stock,Cars,PHEV,2011,Vehicles,660.0
1111,China,EV sales,Cars,PHEV,2011,Vehicles,320.0
1112,China,EV stock,Cars,BEV,2011,Vehicles,6300.0
1113,China,EV stock,Buses,BEV,2011,Vehicles,4100.0
1114,China,EV sales,Buses,PHEV,2011,Vehicles,160.0
1115,China,EV sales,Buses,BEV,2011,Vehicles,440.0
1116,China,EV stock,Vans,BEV,2011,Vehicles,700.0
1117,China,EV sales,Vans,BEV,2011,Vehicles,150.0
1118,China,EV stock,Buses,PHEV,2011,Vehicles,160.0
1119,China,EV sales,Cars,BEV,2011,Vehicles,4800.0
1126,China,EV sales,Cars,BEV,2012,Vehicles,9600.0
1127,China,EV stock,Buses,PHEV,2012,Vehicles,680.0
1128,China,EV sales,Vans,BEV,2012,Vehicles,670.0
1129,China,EV stock,Vans,BEV,2012,Vehicles,1200.0
1130,China,EV sales,Buses,BEV,2012,Vehicles,1400.0
1131,China,EV sales,Buses,PHEV,2012,Vehicles,510.0
1132,China,EV stock,Buses,BEV,2012,Vehicles,5900.0
1133,China,EV stock,Cars,BEV,2012,Vehicles,16000.0
1134,China,EV sales,Cars,PHEV,2012,Vehicles,260.0
1135,China,EV stock,Cars,PHEV,2012,Vehicles,920.0
1136,China,EV stock,Trucks,BEV,2012,Vehicles,540.0
1163,China,EV stock,Trucks,BEV,2013,Vehicles,1400.0
1164,China,EV stock,Cars,PHEV,2013,Vehicles,1600.0
1165,China,EV sales,Cars,PHEV,2013,Vehicles,730.0
1166,China,EV stock,Cars,BEV,2013,Vehicles,31000.0
1167,China,EV stock,Buses,BEV,2013,Vehicles,7600.0
1168,China,EV sales,Buses,PHEV,2013,Vehicles,1800.0
1169,China,EV sales,Buses,BEV,2013,Vehicles,2000.0
1170,China,EV stock,Vans,BEV,2013,Vehicles,1800.0
1171,China,EV sales,Vans,BEV,2013,Vehicles,750.0
1172,China,EV stock,Buses,PHEV,2013,Vehicles,2400.0
1173,China,EV sales,Cars,BEV,2013,Vehicles,15000.0
1180,China,EV sales,Cars,BEV,2014,Vehicles,49000.0
1181,China,EV stock,Buses,PHEV,2014,Vehicles,8400.0
