country_code,country_name,year,value_x,region,category,parameter,mode,powertrain,unit,value_y
CHN,China,2010,8474919.921875,China,Historical,Electricity demand,Buses,EV,GWh,150.0
CHN,China,2010,8474919.921875,China,Historical,Electricity demand,Vans,EV,GWh,3.0
CHN,China,2010,8474919.921875,China,Historical,Electricity demand,Cars,EV,GWh,46.0
CHN,China,2010,8474919.921875,China,Historical,EV sales,Cars,BEV,Vehicles,1100.0
CHN,China,2010,8474919.921875,China,Historical,EV sales,Vans,BEV,Vehicles,120.0
CHN,China,2010,8474919.921875,China,Historical,EV stock,Vans,BEV,Vehicles,400.0
CHN,China,2010,8474919.921875,China,Historical,EV sales,Buses,BEV,Vehicles,970.0
CHN,China,2010,8474919.921875,China,Historical,EV stock,Buses,BEV,Vehicles,1900.0
CHN,China,2010,8474919.921875,China,Historical,EV sales share,Buses,EV,percent,0.189999997615814
CHN,China,2010,8474919.921875,China,Historical,EV stock,Cars,BEV,Vehicles,1600.0
CHN,China,2010,8474919.921875,China,Historical,EV sales,Cars,PHEV,Vehicles,340.0
CHN,China,2010,8474919.921875,China,Historical,EV stock,Cars,PHEV,Vehicles,340.0
CHN,China,2010,8474919.921875,China,Historical,EV stock,Trucks,BEV,Vehicles,16.0
CHN,China,2010,8474919.921875,China,Historical,EV stock share,Buses,EV,percent,0.054999999701977
CHN,China,2010,8474919.921875,China,Historical,EV sales share,Vans,EV,percent,0.009999999776483
CHN,China,2010,8474919.921875,China,Historical,EV stock share,Vans,EV,percent,0.005499999970198
CHN,China,2010,8474919.921875,China,Historical,EV sales share,Cars,EV,percent,0.009999999776483
CHN,China,2010,8474919.921875,China,Historical,EV stock share,Cars,EV,percent,0.003100000089034
CHN,China,2010,8474919.921875,China,Historical,EV stock share,Trucks,EV,percent,0.000110000000859
CHN,China,2010,8474919.921875,China,Historical,Oil displacement Mbd,Buses,EV,Milion barrels per day,0.000230000005104
CHN,China,2010,8474919.921875,China,Historical,Oil displacement Mbd,Vans,EV,Milion barrels per day,9.99999974737875e-06
CHN,China,2010,8474919.921875,China,Historical,Oil displacement Mbd,Cars,EV,Milion barrels per day,2.90000007225899e-05
CHN,China,2010,8474919.921875,China,Historical,"Oil displacement, million lge",Buses,EV,"Oil displacement, million lge",14.0
CHN,China,2010,8474919.921875,China,Historical,"Oil displacement, million lge",Vans,EV,"Oil displacement, million lge",0.620000004768372
CHN,China,2010,8474919.921875,China,Historical,"Oil displacement, million lge",Cars,EV,"Oil displacement, million lge",1.70000004768372
CHN,China,2011,9282549.8046875,China,Historical,Oil displacement Mbd,Buses,EV,Milion barrels per day,0.000239999993937
CHN,China,2011,9282549.8046875,China,Historical,Oil displacement Mbd,Vans,EV,Milion barrels per day,1.29999998534913e-05
